GEO_ID,NAME,B19013_001E
1600000US0100100,"Abanda CDP, Alabama",115388
1600000US0100124,"Abbeville city, Alabama",31712
1600000US0100460,"Adamsville city, Alabama",62500
1600000US0100484,"Addison town, Alabama",56384
1600000US0100676,"Akron town, Alabama",34107
1600000US0100820,"Alabaster city, Alabama",91357
1600000US0100988,"Albertville city, Alabama",56099
1600000US0101132,"Alexander City city, Alabama",47022
1600000US0101180,"Alexandria CDP, Alabama",85089
1600000US0101228,"Aliceville city, Alabama",39167
1600000US0101396,"Allgood town, Alabama",73750
1600000US0101660,"Altoona town, Alabama",43056
1600000US0101708,"Andalusia city, Alabama",42611
1600000US0101756,"Anderson town, Alabama",110682
1600000US0101852,"Anniston city, Alabama",46668
1600000US0102116,"Arab city, Alabama",64333
1600000US0102260,"Ardmore town, Alabama",50352
1600000US0102320,"Argo city, Alabama",105128
1600000US0102428,"Ariton town, Alabama",50000
1600000US0102500,"Arley town, Alabama",71818
1600000US0102836,"Ashford city, Alabama",65341
1600000US0102860,"Ashland town, Alabama",42308
1600000US0102908,"Ashville city, Alabama",69362
1600000US0102956,"Athens city, Alabama",69922
1600000US0103004,"Atmore city, Alabama",38862
1600000US0103028,"Attalla city, Alabama",59215
1600000US0103076,"Auburn city, Alabama",63668
1600000US0103220,"Autaugaville town, Alabama",49643
1600000US0103364,"Avon town, Alabama",39375
1600000US0103508,"Axis CDP, Alabama",95977
1600000US0103556,"Babbie town, Alabama",63611
1600000US0103676,"Baileyton town, Alabama",63143
1600000US0103724,"Bakerhill town, Alabama",55114
1600000US0103820,"Ballplay CDP, Alabama",47837
1600000US0103940,"Banks town, Alabama",50000
1600000US0104660,"Bay Minette city, Alabama",44523
1600000US0104684,"Bayou La Batre city, Alabama",37679
1600000US0104852,"Bear Creek town, Alabama",50188
1600000US0104900,"Beatrice town, Alabama",37292
1600000US0104948,"Beaverton town, Alabama",38125
1600000US0105140,"Belgreen CDP, Alabama",47946
1600000US0105164,"Belk town, Alabama",44850
1600000US0105188,"Bellamy CDP, Alabama",53011
1600000US0105212,"Belle Fontaine CDP, Alabama",107857
1600000US0105692,"Benton town, Alabama",46750
1600000US0105812,"Berlin town, Alabama",70982
1600000US0105932,"Berry town, Alabama",37031
1600000US0105980,"Bessemer city, Alabama",39613
1600000US0106460,"Billingsley town, Alabama",44479
1600000US0107000,"Birmingham city, Alabama",46051
1600000US0107120,"Black town, Alabama",61214
1600000US0107456,"Blountsville town, Alabama",48182
1600000US0107588,"Blue Ridge CDP, Alabama",128482
1600000US0107672,"Blue Springs town, Alabama",46667
1600000US0107912,"Boaz city, Alabama",49846
1600000US0108104,"Boligee town, Alabama",26607
1600000US0108248,"Bon Air town, Alabama",38000
1600000US0108272,"Bon Secour CDP, Alabama",61497
1600000US0108680,"Boykin CDP, Alabama",51667
1600000US0109016,"Brantley town, Alabama",27443
1600000US0109064,"Brantleyville CDP, Alabama",47917
1600000US0109136,"Brent city, Alabama",22660
1600000US0109208,"Brewton city, Alabama",50721
1600000US0109328,"Bridgeport city, Alabama",34481
1600000US0109400,"Brighton city, Alabama",38221
1600000US0109424,"Brilliant town, Alabama",47125
1600000US0109457,"Bristow Cove CDP, Alabama",-666666666
1600000US0109500,"Brook Highland CDP, Alabama",79904
1600000US0109736,"Brookside town, Alabama",59271
1600000US0109808,"Brookwood town, Alabama",81394
1600000US0109880,"Broomtown CDP, Alabama",-666666666
1600000US0110240,"Brundidge city, Alabama",38188
1600000US0110456,"Bucks CDP, Alabama",-666666666
1600000US0111032,"Butler town, Alabama",47350
1600000US0111416,"Calera city, Alabama",87194
1600000US0111488,"Calvert CDP, Alabama",-666666666
1600000US0111512,"Camden city, Alabama",36481
1600000US0111680,"Camp Hill town, Alabama",31833
1600000US0112016,"Carbon Hill city, Alabama",24605
1600000US0112040,"Cardiff town, Alabama",11533
1600000US0112070,"Carlisle-Rockledge CDP, Alabama",60360
1600000US0112112,"Carlton CDP, Alabama",-666666666
1600000US0112160,"Carolina town, Alabama",60250
1600000US0112304,"Carrollton town, Alabama",31000
1600000US0112496,"Castleberry town, Alabama",21923
1600000US0112544,"Catherine CDP, Alabama",-666666666
1600000US0112760,"Cedar Bluff town, Alabama",52500
1600000US0113264,"Center Point city, Alabama",56417
1600000US0113648,"Centre city, Alabama",44664
1600000US0113672,"Centreville city, Alabama",39477
1600000US0114008,"Chatom town, Alabama",-666666666
1600000US0114104,"Chelsea city, Alabama",115337
1600000US0114152,"Cherokee town, Alabama",50815
1600000US0114202,"Cherokee Ridge town, Alabama",171368
1600000US0114392,"Chickasaw city, Alabama",46559
1600000US0114464,"Childersburg city, Alabama",52338
1600000US0114728,"Choccolocco CDP, Alabama",78858
1600000US0114968,"Chunchula CDP, Alabama",18664
1600000US0115064,"Citronelle city, Alabama",43870
1600000US0115136,"Clanton city, Alabama",47520
1600000US0115256,"Clay city, Alabama",81920
1600000US0115304,"Clayhatchee town, Alabama",48646
1600000US0115376,"Clayton city, Alabama",21641
1600000US0115472,"Cleveland town, Alabama",71328
1600000US0115640,"Clio city, Alabama",28750
1600000US0116000,"Coaling city, Alabama",81370
1600000US0116080,"Coats Bend CDP, Alabama",70409
1600000US0116240,"Coffee Springs town, Alabama",40917
1600000US0116264,"Coffeeville town, Alabama",30156
1600000US0116312,"Coker town, Alabama",55313
1600000US0116600,"Collinsville city, Alabama",31652
1600000US0116684,"Colony town, Alabama",42386
1600000US0116744,"Columbia town, Alabama",62000
1600000US0116768,"Columbiana city, Alabama",80546
1600000US0116936,"Concord CDP, Alabama",66406
1600000US0117176,"Coosada town, Alabama",61815
1600000US0117368,"Cordova town, Alabama",37662
1600000US0117704,"Cottondale CDP, Alabama",44877
1600000US0117824,"Cottonwood town, Alabama",34468
1600000US0117968,"County Line town, Alabama",61250
1600000US0118040,"Courtland town, Alabama",47679
1600000US0118088,"Cowarts town, Alabama",64118
1600000US0118304,"Creola town, Alabama",66607
1600000US0118856,"Crossville town, Alabama",49100
1600000US0118952,"Cuba town, Alabama",91250
1600000US0118976,"Cullman city, Alabama",61224
1600000US0119024,"Cullomburg CDP, Alabama",-666666666
1600000US0119216,"Cusseta town, Alabama",80385
1600000US0119336,"Dadeville city, Alabama",67147
1600000US0119360,"Daleville city, Alabama",45324
1600000US0119648,"Daphne city, Alabama",87250
1600000US0119744,"Dauphin Island town, Alabama",67206
1600000US0119816,"Daviston town, Alabama",-666666666
1600000US0119912,"Dayton town, Alabama",-666666666
1600000US0120008,"Deatsville town, Alabama",123977
1600000US0120104,"Decatur city, Alabama",61563
1600000US0120152,"Deer Park CDP, Alabama",-666666666
1600000US0120272,"Delta CDP, Alabama",75969
1600000US0120296,"Demopolis city, Alabama",34802
1600000US0120392,"Detroit town, Alabama",-666666666
1600000US0120955,"Dodge City town, Alabama",63594
1600000US0121136,"Dora city, Alabama",61892
1600000US0121184,"Dothan city, Alabama",55792
1600000US0121280,"Double Springs town, Alabama",47768
1600000US0121328,"Douglas town, Alabama",62000
1600000US0121448,"Dozier town, Alabama",49338
1600000US0121890,"Dunnavant CDP, Alabama",75323
1600000US0121952,"Dutton town, Alabama",63750
1600000US0122088,"Eagle Point CDP, Alabama",151842
1600000US0122216,"East Brewton city, Alabama",35571
1600000US0122504,"East Point CDP, Alabama",160531
1600000US0122816,"Eclectic town, Alabama",49904
1600000US0123032,"Edgewater CDP, Alabama",-666666666
1600000US0123176,"Edwardsville town, Alabama",79250
1600000US0123224,"Egypt CDP, Alabama",37250
1600000US0123296,"Elba city, Alabama",44792
1600000US0123320,"Elberta town, Alabama",55000
1600000US0123344,"Eldridge town, Alabama",98542
1600000US0123488,"Elkmont town, Alabama",49750
1600000US0123656,"Elmore town, Alabama",48696
1600000US0123872,"Emelle town, Alabama",11786
1600000US0123880,"Emerald Mountain CDP, Alabama",123347
1600000US0124184,"Enterprise city, Alabama",73125
1600000US0124256,"Epes town, Alabama",-666666666
1600000US0124280,"Equality CDP, Alabama",-666666666
1600000US0124472,"Ethelsville town, Alabama",48750
1600000US0124568,"Eufaula city, Alabama",47392
1600000US0124616,"Eunola CDP, Alabama",-666666666
1600000US0124664,"Eutaw city, Alabama",27422
1600000US0124688,"Eva town, Alabama",115455
1600000US0124808,"Evergreen city, Alabama",40700
1600000US0124880,"Excel town, Alabama",57375
1600000US0125120,"Fairfield city, Alabama",48456
1600000US0125216,"Fairford CDP, Alabama",96228
1600000US0125240,"Fairhope city, Alabama",94274
1600000US0125384,"Fairview town, Alabama",56250
1600000US0125648,"Falkville town, Alabama",46888
1600000US0125816,"Faunsdale town, Alabama",99583
1600000US0125840,"Fayette city, Alabama",36473
1600000US0125864,"Fayetteville CDP, Alabama",100255
1600000US0126152,"Fitzpatrick CDP, Alabama",-666666666
1600000US0126200,"Five Points town, Alabama",-666666666
1600000US0126824,"Flomaton town, Alabama",42708
1600000US0126848,"Florala town, Alabama",-666666666
1600000US0126896,"Florence city, Alabama",52174
1600000US0126992,"Foley city, Alabama",66336
1600000US0127088,"Forestdale CDP, Alabama",66569
1600000US0127376,"Forkland town, Alabama",29423
1600000US0127520,"Fort Deposit town, Alabama",21563
1600000US0127616,"Fort Payne city, Alabama",47479
1600000US0127640,"Fort Rucker CDP, Alabama",74541
1600000US0128024,"Franklin town, Alabama",85817
1600000US0128120,"Fredonia CDP, Alabama",-666666666
1600000US0128312,"Frisco City town, Alabama",36023
1600000US0128408,"Fruitdale CDP, Alabama",-666666666
1600000US0128432,"Fruithurst town, Alabama",50903
1600000US0128504,"Fulton town, Alabama",60926
1600000US0128552,"Fultondale city, Alabama",73575
1600000US0128672,"Fyffe town, Alabama",34870
1600000US0128696,"Gadsden city, Alabama",40345
1600000US0128768,"Gainesville town, Alabama",-666666666
1600000US0128816,"Gallant CDP, Alabama",55130
1600000US0128936,"Gantt town, Alabama",53125
1600000US0129032,"Garden City town, Alabama",48333
1600000US0129056,"Gardendale city, Alabama",82192
1600000US0129296,"Gaylesville town, Alabama",45625
1600000US0129392,"Geiger town, Alabama",38750
1600000US0129464,"Geneva city, Alabama",47102
1600000US0129560,"Georgiana town, Alabama",24321
1600000US0129608,"Geraldine town, Alabama",43594
1600000US0129704,"Gilbertown town, Alabama",70156
1600000US0129944,"Glen Allen town, Alabama",46313
1600000US0129992,"Glencoe city, Alabama",68517
1600000US0130160,"Glenwood town, Alabama",41010
1600000US0130448,"Goldville town, Alabama",48750
1600000US0130496,"Good Hope city, Alabama",93661
1600000US0130640,"Goodwater town, Alabama",39511
1600000US0130736,"Gordo town, Alabama",47569
1600000US0130760,"Gordon town, Alabama",-666666666
1600000US0130808,"Gordonville town, Alabama",41528
1600000US0130880,"Goshen town, Alabama",56750
1600000US0131000,"Graham CDP, Alabama",-666666666
1600000US0131024,"Grand Bay CDP, Alabama",62112
1600000US0131096,"Grant town, Alabama",91477
1600000US0131348,"Grayson Valley CDP, Alabama",64597
1600000US0131384,"Graysville city, Alabama",70208
1600000US0131720,"Greensboro city, Alabama",27000
1600000US0131912,"Greenville city, Alabama",40822
1600000US0132056,"Grimes town, Alabama",33958
1600000US0132080,"Grove Hill town, Alabama",59219
1600000US0132224,"Guin city, Alabama",51117
1600000US0132248,"Gulfcrest CDP, Alabama",-666666666
1600000US0132272,"Gulf Shores city, Alabama",78188
1600000US0132416,"Guntersville city, Alabama",67929
1600000US0132440,"Gurley town, Alabama",56964
1600000US0132536,"Gu-Win town, Alabama",63942
1600000US0132560,"Hackleburg town, Alabama",42292
1600000US0132584,"Hackneyville CDP, Alabama",-666666666
1600000US0132656,"Haleburg town, Alabama",41944
1600000US0132704,"Haleyville city, Alabama",42058
1600000US0132848,"Hamilton city, Alabama",54871
